Date,Data
2020-01-01 00:00:00,20674
2020-02-01 00:00:00,21301
2020-03-01 00:00:00,22914
2020-04-01 00:00:00,24308
2020-05-01 00:00:00,25280
2020-06-01 00:00:00,27559
2020-07-01 00:00:00,28364
2020-08-01 00:00:00,28522
2020-09-01 00:00:00,28620
2020-10-01 00:00:00,28834
2020-11-01 00:00:00,29298
2020-12-01 00:00:00,29480
2021-01-01 00:00:00,29606
2021-02-01 00:00:00,29906
2021-03-01 00:00:00,29314
2021-04-01 00:00:00,25832
2021-05-01 00:00:00,25682
2021-06-01 00:00:00,24905
2021-07-01 00:00:00,28320
2021-08-01 00:00:00,28664
2021-09-01 00:00:00,29259
2021-10-01 00:00:00,28902
2021-11-01 00:00:00,28753
2021-12-01 00:00:00,29131
2022-01-01 00:00:00,29922
2022-02-01 00:00:00,29806
2022-03-01 00:00:00,29740
2022-04-01 00:00:00,29999
2022-05-01 00:00:00,29525
